Scenario,Array,SNR_dB,Snapshots,RMSE_deg,RMSE_CI_Low,RMSE_CI_High,RMSE_CRB_Ratio,Resolution_Rate_%,Runtime_ms,Trials
Baseline,Z5,0.0,64,18.411350832253735,15.337745482955544,21.484956181551926,inf,26.0,1.396646499633789,50
Baseline,Z5,5.0,64,10.972474908713968,7.466437538413657,14.478512279014279,inf,56.0,0.8850288391113281,50
Baseline,Z5,10.0,64,5.0478582235084986,2.21569648382597,7.880019963191027,inf,80.0,0.9011554718017578,50
Baseline,Z5,5.0,32,15.882185688589948,12.495183186901384,19.269188190278513,inf,36.0,0.7555055618286133,50
Baseline,Z5,5.0,64,10.972474908713968,7.466437538413657,14.478512279014279,inf,56.0,0.6624221801757812,50
