Scenario,Array,Coupling_c1,SNR_dB,Snapshots,RMSE_Baseline,RMSE_ALSS,Improvement_%,P_Value,Harmlessness_%,Baseline_CI_Low,Baseline_CI_High,ALSS_CI_Low,ALSS_CI_High,Trials
ALSS_Effectiveness,Z5,0.0,-5.0,64,23.40220251191546,23.189894743510074,0.9072127646843758,0.3349409882855967,45.800000000000004,23.03765302438145,23.76675199944947,22.79501990994305,23.584769577077097,1000
ALSS_Effectiveness,Z5,0.0,0.0,64,19.113908562620793,18.05428147490728,5.543748858282817,0.0005367491255246458,50.6,18.473011098165525,19.75480602707606,17.37211370122256,18.736449248592002,1000
ALSS_Effectiveness,Z5,0.0,5.0,64,11.85081342489695,10.731267109738305,9.446999754520062,0.0002110585160662317,67.5,11.088557795461583,12.613069054332318,9.974658599480632,11.487875619995977,1000
ALSS_Effectiveness,Z5,0.0,10.0,64,5.400531367523948,4.807822002041001,10.97501940359425,0.030419932537493033,79.5,4.774029924868202,6.027032810179694,4.208186153497426,5.407457850584576,1000
ALSS_Effectiveness,Z5,0.0,15.0,64,1.9378412905337723,1.9094191031899093,1.4666932468981624,0.9102197315827009,81.5,1.5382768814365098,2.337405699631035,1.5121805420887788,2.30665766429104,1000
ALSS_Effectiveness,Z5,0.0,5.0,32,15.710239700747367,14.474254273462302,7.867387454478286,0.0005421000995214698,56.99999999999999,14.973944216006696,16.446535185488038,13.719697305773488,15.228811241151115,1000
ALSS_Effectiveness,Z5,0.0,5.0,64,11.85081342489695,10.731267109738305,9.446999754520062,0.0002110585160662317,67.5,11.088557795461583,12.613069054332318,9.974658599480632,11.487875619995977,1000
ALSS_Effectiveness,Z5,0.0,5.0,128,7.931926778864001,7.6939184609179305,3.0006368513169424,0.3483879052207759,79.60000000000001,7.220449263953365,8.643404293774637,6.988067929491606,8.399768992344255,1000
ALSS_Effectiveness,Z5,0.3,-5.0,64,25.09168529860017,25.21625368950166,-0.4964528664339667,0.4202236303431427,48.5,24.73942892496071,25.443941672239628,24.88847486945319,25.544032509550128,1000
ALSS_Effectiveness,Z5,0.3,0.0,64,21.606687656248262,20.288849657671832,6.09921344512672,1.3205385867449927e-05,47.099999999999994,21.095550892532863,22.11782441996366,19.695499230103614,20.88220008524005,1000
ALSS_Effectiveness,Z5,0.3,5.0,64,15.467273091694024,13.692447472811605,11.4747157327655,4.309693006203881e-08,66.2,14.727686186930141,16.206859996457908,12.93225555499745,14.452639390625759,1000
ALSS_Effectiveness,Z5,0.3,10.0,64,9.3450136715233,6.8913815301762025,26.256057268529812,1.6401674250309964e-15,78.3,8.606428709279758,10.083598633766844,6.209992298243737,7.572770762108668,1000
ALSS_Effectiveness,Z5,0.3,15.0,64,5.17944302944931,3.4293069133050196,33.79004472475815,1.4914126193527804e-09,83.3,4.563041375609238,5.795844683289381,2.9088319838989882,3.949781842711051,1000
ALSS_Effectiveness,Z5,0.3,5.0,32,18.23428668661201,16.848593421341835,7.599382904775641,9.819701168680178e-05,49.4,17.560604352304605,18.907969020919413,16.13313543489537,17.564051407788302,1000
ALSS_Effectiveness,Z5,0.3,5.0,64,15.467273091694024,13.692447472811605,11.4747157327655,4.309693006203881e-08,66.2,14.727686186930141,16.206859996457908,12.93225555499745,14.452639390625759,1000
ALSS_Effectiveness,Z5,0.3,5.0,128,12.934144100535804,11.292452014864804,12.692699825441036,3.7207710071757343e-07,79.2,12.170994697165677,13.69729350390593,10.531666343972745,12.053237685756862,1000
