Scenario,Array,Coupling_c1,SNR_dB,Snapshots,RMSE_Baseline,RMSE_ALSS,Improvement_%,P_Value,Harmlessness_%,Baseline_CI_Low,Baseline_CI_High,ALSS_CI_Low,ALSS_CI_High,Trials
ALSS_Effectiveness,Z5,0.0,-5.0,64,23.11235662736625,23.067719690675883,0.19313018317445932,0.8889093307263918,48.199999999999996,22.567092276725397,23.657620978007103,22.508102556252528,23.62733682509924,500
ALSS_Effectiveness,Z5,0.0,0.0,64,18.659616614822898,17.814801000250455,4.527507890496182,0.04793691290775389,52.6,17.726457058050844,19.592776171594952,16.838012609664172,18.791589390836737,500
ALSS_Effectiveness,Z5,0.0,5.0,64,11.631045288817967,10.655429031331852,8.388035926780095,0.020919723693892223,71.0,10.551723743470037,12.710366834165898,9.584415887383768,11.726442175279937,500
ALSS_Effectiveness,Z5,0.0,10.0,64,5.352000433676935,5.048919163305848,5.662953023396224,0.4194346653547417,80.80000000000001,4.466809104692325,6.237191762661545,4.18305337549781,5.9147849511138855,500
ALSS_Effectiveness,Z5,0.0,15.0,64,1.984325994091727,1.7359556247909218,12.516611183863983,0.4796139887045815,82.39999999999999,1.411733090636326,2.556918897547128,1.199055910791078,2.2728553387907655,500
ALSS_Effectiveness,Z5,0.0,5.0,32,15.913757727978561,14.750961293369935,7.306862744078801,0.020046774405690443,56.39999999999999,14.875130256809783,16.95238519914734,13.685133912527254,15.816788674212615,500
ALSS_Effectiveness,Z5,0.0,5.0,64,11.631045288817967,10.655429031331852,8.388035926780095,0.020919723693892223,71.0,10.551723743470037,12.710366834165898,9.584415887383768,11.726442175279937,500
ALSS_Effectiveness,Z5,0.0,5.0,128,7.616227216489633,7.422403361086006,2.5448801604025904,0.593154609280325,80.60000000000001,6.620105019795693,8.612349413183573,6.43330735666031,8.4114993655117,500
ALSS_Effectiveness,Z5,0.3,-5.0,64,25.339308137111654,25.538004881812288,-0.7841443169066825,0.4402777789301676,48.8,24.741884394680316,25.936731879542993,24.99955399139588,26.076455772228694,500
ALSS_Effectiveness,Z5,0.3,0.0,64,21.26711721039827,19.94659551976115,6.209218097464886,0.003199645880069079,47.8,20.510477467043277,22.02375695375326,19.081879824011633,20.811311215510667,500
ALSS_Effectiveness,Z5,0.3,5.0,64,15.366574411836908,13.472577880585229,12.325431032909513,3.762721509493996e-05,64.60000000000001,14.316242496872166,16.416906326801648,12.393534103753712,14.551621657416746,500
ALSS_Effectiveness,Z5,0.3,10.0,64,9.194555049042366,6.888931146774302,25.075970397373386,6.014277631776045e-08,77.8,8.151657379787808,10.237452718296923,5.923428744639008,7.854433548909597,500
ALSS_Effectiveness,Z5,0.3,15.0,64,5.247893580646025,3.276621184297265,37.56311682117023,2.4954491034772258e-06,82.6,4.369850343850661,6.125936817441389,2.5535112337810792,3.9997311348134508,500
ALSS_Effectiveness,Z5,0.3,5.0,32,18.842990716392734,16.968042053758882,9.950377256210782,0.00014943716543359172,48.199999999999996,17.918951032758738,19.76703040002673,15.958280215048543,17.977803892469222,500
ALSS_Effectiveness,Z5,0.3,5.0,64,15.366574411836908,13.472577880585229,12.325431032909513,3.762721509493996e-05,64.60000000000001,14.316242496872166,16.416906326801648,12.393534103753712,14.551621657416746,500
ALSS_Effectiveness,Z5,0.3,5.0,128,13.423205843776191,11.269219162026795,16.046738065542772,6.379674698304971e-06,79.0,12.345340957217376,14.501070730335007,10.19195323514921,12.34648508890438,500
