Array,N_Physical,N_Virtual,Aperture_Size,RMSE_mean,RMSE_std,Resolution_Rate,Runtime_mean_ms,Valid_Trials,SNR_dB,Snapshots,Relative_Improvement_%,Virtual_Aperture_Efficiency,Runtime_Overhead_%,Complexity_Overhead_Ratio
ULA,7,13,3.0,0.10606601717798216,0.16201851746019652,100.0,4.3869840004481375,50,10.0,256,0.0,0.0,0.0,0.0
Z5,7,29,22.0,0.0,0.0,100.0,4.034431998152286,50,10.0,256,100.0,3.4482758620689653,-8.036318396872154,12.44350741446655
Z6,7,23,21.0,0.0,0.0,100.0,3.9956720010377467,50,10.0,256,100.0,4.3478260869565215,-8.919841042739561,11.210960857921975
