array,M,SNR_dB,cov_type,mean,std,min,max
Z5(N=7),64,10.0,Rv,40.2196529775442,4.799367382314926,34.76718530028784,43.804300726698315
Z5(N=7),64,10.0,Rx,99.78969649155385,1.6078305003945381,98.2487649476118,101.4569712736615
