Array,Model,Coupling_Strength,RMSE_mean,RMSE_std,Resolution_Rate_%,Runtime_mean,Runtime_std,N_sensors,N_virtual,Valid_Trials
ULA,none,0.3,0.04228427124746333,0.04015022297660605,100.0,0.015875635147094728,0.004238841350762124,7,13,50
ULA,exponential,0.3,0.03652691193458126,0.03695652451899868,100.0,0.015338940620422363,0.0027670435799856817,7,13,50
ULA,sinc,0.3,0.045446548907631855,0.04283236150840265,100.0,0.015880136489868163,0.002217562610164716,7,13,50
ULA,realistic,0.3,0.04876955262170056,0.03770319266427185,100.0,0.016533427238464356,0.0033289321159933136,7,13,50
Z5,none,0.3,0.0,0.0,100.0,0.01574188232421875,0.00406176619434814,7,29,50
Z5,exponential,0.3,0.0,0.0,100.0,0.014698166847229004,0.0022442576624315583,7,29,50
Z5,sinc,0.3,0.0,0.0,100.0,0.015169620513916016,0.0029020496813457275,7,29,50
Z5,realistic,0.3,0.0,0.0,100.0,0.01492748737335205,0.004006779014280946,7,29,50
