Metrics,Value
Physical Sensors (N),5
Virtual Elements (Unique Lags),17
Virtual-only Elements,12
"Coarray Aperture (two-sided span, lags)",24
Max Positive Lag (one-sided),12
"Contiguous Segment Length (L, one-sided)",6
Maximum Detectable Sources (K_max),3
Holes (one-sided),4
Largest One-sided Segment Range [L1:L2],[2:7]
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),1
Weight at Lag 3 (w(3)),2
