Metrics,Value
Physical Sensors (N),9
Virtual Elements (Unique Lags),45
Virtual-only Elements,36
"Coarray Aperture (two-sided span, lags)",60
Max Positive Lag (one-sided),30
"Contiguous Segment Length (L, one-sided)",9
Maximum Detectable Sources (K_max),4
Holes (one-sided),8
Weight at Lag 0 (w(0)),9
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),0
Weight at Lag 3 (w(3)),4
Largest One-sided Segment Range [L1:L2],[10:18]
