Metrics,Value
Physical Sensors (N),6
Virtual Elements (Unique Lags),19
Virtual-only Elements,13
"Coarray Aperture (two-sided span, lags)",22
Max Positive Lag (one-sided),11
"Contiguous Segment Length (L, one-sided)",8
Maximum Detectable Sources (K_max),4
Holes (one-sided),2
Largest One-sided Segment Range [L1:L2],[2:9]
Weight at Lag 0 (w(0)),6
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),4
Weight at Lag 3 (w(3)),1
