Metrics,Value
Physical Sensors (N),7
Virtual Elements (Unique Lags),23
Virtual-only Elements,16
"Coarray Aperture (two-sided span, lags)",42
Max Positive Lag (one-sided),21
"Contiguous Segment Length (L, one-sided)",3
Maximum Detectable Sources (K_max),1
Holes (one-sided),10
Weight at Lag 0 (w(0)),7
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),0
Weight at Lag 3 (w(3)),3
Largest One-sided Segment Range [L1:L2],[6:8]
