Metrics,Value
Physical Sensors (N),3
Virtual Elements (Unique Lags),7
Virtual-only Elements,4
"Coarray Aperture (two-sided span, lags)",10
Max Positive Lag (one-sided),5
"Contiguous Segment Length (L, one-sided)",2
Maximum Detectable Sources (K_max),1
Holes (one-sided),2
Largest One-sided Segment Range [L1:L2],[2:3]
Weight at Lag 0 (w(0)),3
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),1
Weight at Lag 3 (w(3)),1
