Metrics,Value
Physical Sensors (N),13
Virtual Elements (Unique Lags),69
Virtual-only Elements,56
"Coarray Aperture (two-sided span, lags)",88
Max Positive Lag (one-sided),44
"Contiguous Segment Length (L, one-sided)",20
Maximum Detectable Sources (K_max),10
Holes (one-sided),4
Weight at Lag 0 (w(0)),13
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),0
Weight at Lag 3 (w(3)),7
Largest One-sided Segment Range [L1:L2],[3:22]
Canonical A (3N-7),32
