Array,N,SNR_dB,Delta_deg,Trials,RMSE_mean,RMSE_CI_low,RMSE_CI_high,Resolve_pct,Resolve_CI_low,Resolve_CI_high,CRB_deg,RMSE_over_CRB,Avg_Condition,Time_sec
Z5,7,0,10.000000,50,4.935965,4.433918,5.354228,0.000000,0.000000,7.134760,0.142524,34.632630,22.489247,0.297342
Z5,7,5,10.000000,50,3.544330,2.967568,4.116735,0.000000,0.000000,7.134760,0.080147,44.222943,208.775697,0.236248
Z5,7,10,10.000000,50,3.162812,2.659099,3.683418,0.000000,0.000000,7.134760,0.045070,70.175707,927.946457,0.240887
Z5,7,0,13.000000,50,6.555884,5.354264,7.668457,0.000000,0.000000,7.134760,0.142900,45.877500,19.502563,0.216952
Z5,7,5,13.000000,50,2.909058,2.078125,3.777248,0.000000,0.000000,7.134760,0.080358,36.201021,2772.450955,0.234212
Z5,7,10,13.000000,50,2.407634,1.738898,3.081656,0.000000,0.000000,7.134760,0.045189,53.279355,1963.323578,0.221527
Z5,7,0,20.000000,50,11.360253,10.045995,12.441295,0.000000,0.000000,7.134760,0.144171,78.796815,22.374349,0.213474
Z5,7,5,20.000000,50,10.152640,8.455343,11.634408,0.000000,0.000000,7.134760,0.081074,125.227488,257.670371,0.214075
Z5,7,10,20.000000,50,9.923909,8.395394,11.403265,0.000000,0.000000,7.134760,0.045591,217.672439,477.180383,0.219894
Z5,7,0,30.000000,50,19.943081,18.323173,21.174406,4.000000,1.103888,13.460091,0.146990,135.676694,39.621485,0.216953
Z5,7,5,30.000000,50,18.654639,16.569480,20.307939,12.000000,5.617600,23.804817,0.082658,225.683516,333.319246,0.328720
Z5,7,10,30.000000,50,17.849427,15.367983,19.939872,16.000000,8.337421,28.514216,0.046482,384.005348,327.400808,0.206376
Z5,7,0,45.000000,50,31.605361,30.106228,32.394937,0.000000,0.000000,7.134760,0.153679,205.657858,2515.568874,0.205310
Z5,7,5,45.000000,50,31.487149,30.140675,32.222906,2.000000,0.353926,10.495444,0.086420,364.349260,6161.322605,0.226075
Z5,7,10,45.000000,50,32.095131,31.960257,32.206553,0.000000,0.000000,7.134760,0.048598,660.425304,21.584209,0.215844
