Metrics,Value
Physical Sensors (N),13
Virtual Elements (Unique Lags),75
Virtual-only Elements,62
"Coarray Aperture (two-sided span, lags)",90
Max Positive Lag (one-sided),45
"Contiguous Segment Length (L, one-sided)",24
Maximum Detectable Sources (K_max),12
Holes (one-sided),8
Weight at Lag 0 (w(0)),13
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),0
Weight at Lag 3 (w(3)),5
Largest One-sided Segment Range [L1:L2],[10:33]
