Metrics,Value
Physical Sensors (N),11
Virtual Elements (Unique Lags),55
Virtual-only Elements,44
"Coarray Aperture (two-sided span, lags)",74
Max Positive Lag (one-sided),37
"Contiguous Segment Length (L, one-sided)",19
Maximum Detectable Sources (K_max),9
Holes (one-sided),10
Weight at Lag 0 (w(0)),11
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),0
Weight at Lag 3 (w(3)),4
Largest One-sided Segment Range [L1:L2],[3:21]
