Metrics,Value
Physical Sensors (N),9
Virtual Elements (Unique Lags),37
Virtual-only Elements,28
"Coarray Aperture (two-sided span, lags)",54
Max Positive Lag (one-sided),27
"Contiguous Segment Length (L, one-sided)",10
Maximum Detectable Sources (K_max),5
Holes (one-sided),5
Weight at Lag 0 (w(0)),9
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),0
Weight at Lag 3 (w(3)),6
Largest One-sided Segment Range [L1:L2],[3:12]
Canonical A (3N-7),20
