Metrics,Value
Physical Sensors (N),15
Virtual Elements (Unique Lags),81
Virtual-only Elements,66
"Coarray Aperture (two-sided span, lags)",102
Max Positive Lag (one-sided),51
"Contiguous Segment Length (L, one-sided)",20
Maximum Detectable Sources (K_max),10
Holes (one-sided),5
Weight at Lag 0 (w(0)),15
Weight at Lag 1 (w(1)),0
Weight at Lag 2 (w(2)),0
Weight at Lag 3 (w(3)),8
Largest One-sided Segment Range [L1:L2],[3:22]
Canonical A (3N-7),38
