Array,N_Physical,N_Virtual,Aperture_Size,RMSE_mean,RMSE_std,Resolution_Rate,Runtime_mean_ms,Valid_Trials,SNR_dB,Snapshots,Relative_Improvement_%,Virtual_Aperture_Efficiency,Runtime_Overhead_%,Complexity_Overhead_Ratio
ULA,7,13,3.0,0.07778174593052024,0.1464581851587681,100.0,4.390428997576237,100,10.0,256,0.0,0.0,0.0,0.0
Nested,7,15,7.0,1.173797256769669,4.647816691738175,94.0,4.0641679940745234,100,10.0,256,-1409.0909090909088,-93.93939393939392,-7.431187332304604,-189.6185167270432
Z5,7,29,22.0,0.0,0.0,100.0,4.6711709967348725,100,10.0,256,100.0,3.4482758620689653,6.394409277854648,15.638658712019714
Z6,7,23,21.0,0.0,0.0,100.0,4.1289569973014295,100,10.0,256,100.0,4.3478260869565215,-5.9555000301600245,16.791198505982457
