SNR_dB,Array,Snapshots,RMSE_degrees,RMSE_CRB_ratio,Resolution_Rate,Bias_degrees,Runtime_ms
-5.0,Z5,256,0.17852673798509458,0.03229704461355795,100.0,0.0069000000000043115,15.47805599682033
0.0,Z5,256,0.07979769928342018,0.02567141950670205,100.0,-0.00019999999999656382,16.411036400590092
5.0,Z5,256,0.03674701294725938,0.02102236421938022,100.0,1.9610979506978767e-15,16.664135600207373
10.0,Z5,256,0.005656854249492442,0.0057548565546503005,100.0,-0.00019999999999971863,16.38728320179507
15.0,Z5,256,0.0,0.0,100.0,0.0,16.27565959841013
