Snapshots,SNR_dB,Array,RMSE_degrees,RMSE_CRB_ratio,Resolution_Rate,Bias_degrees,Runtime_ms
32,10.0,Z5,0.05956242677088593,0.02142332638208173,100.0,-0.003999999999996944,16.876963200746104
64,10.0,Z5,0.0366742207411235,0.01865479207261557,100.0,-0.001099999999998019,20.169247600249946
128,10.0,Z5,0.01792203461105359,0.012892342294261271,100.0,0.0006000000000009465,17.691763997077942
256,10.0,Z5,0.0035941125496954597,0.0036563788375176265,100.0,-0.0001999999999998181,17.92766579799354
512,10.0,Z5,0.0004242640687119246,0.0006103947141823494,100.0,-9.999999999998011e-05,18.036392396781594
